FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
-16.56023,0,-22.118071,0,494.195923,0
-16.444939,0,-22.089396,0,493.63736,0
-16.331278,0,-22.059404,0,493.084198,0
-16.219265,0,-22.028162,0,492.536774,0
-16.108927,0,-21.995731,0,491.995453,0
-16.000305,0,-21.962175,0,491.460632,0
-15.893446,0,-21.927553,0,490.932556,0
-15.788386,0,-21.891935,0,490.411621,0
-15.685149,0,-21.855389,0,489.898285,0
-15.583728,0,-21.817989,0,489.392761,0
-15.484097,0,-21.7798,0,488.895599,0
-15.386225,0,-21.740891,0,488.406921,0
-15.290085,0,-21.701315,0,487.927185,0
-15.195671,0,-21.661131,0,487.456543,0
-15.103,0,-21.620396,0,486.99527,0
-15.012094,0,-21.579155,0,486.54364,0
-14.922979,0,-21.53746,0,486.10199,0
-14.835663,0,-21.495358,0,485.670532,0
-14.750126,0,-21.452892,0,485.249634,0
-14.666323,0,-21.410105,0,484.839478,0
-14.584195,0,-21.367039,0,484.440216,0
-14.503692,0,-21.323729,0,484.052124,0
-14.424787,0,-21.280191,0,483.675262,0
-14.347485,0,-21.236443,0,483.309784,0
-14.271811,0,-21.192503,0,482.955994,0
-14.1978,0,-21.148382,0,482.613892,0
-14.125464,0,-21.104095,0,482.283752,0
-14.054787,0,-21.05965,0,481.965729,0
-13.985714,0,-21.015059,0,481.659912,0
-13.918168,0,-20.970341,0,481.366455,0
-13.852069,0,-20.925518,0,481.085449,0
-13.787357,0,-20.880608,0,480.817017,0
-13.724007,0,-20.835611,0,480.561188,0
-13.66203,0,-20.790539,0,480.318054,0
-13.601448,0,-20.745386,0,480.087769,0
-13.54227,0,-20.700153,0,479.870392,0
-13.484466,0,-20.654837,0,479.665924,0
-13.42796,0,-20.609426,0,479.474457,0
-13.372642,0,-20.563917,0,479.295959,0
-13.318392,0,-20.518303,0,479.130371,0
-13.26512,0,-20.472584,0,478.977753,0
-13.212777,0,-20.426765,0,478.838043,0
-13.161356,0,-20.380854,0,478.711334,0
-13.110868,0,-20.334862,0,478.597565,0
-13.06131,0,-20.288801,0,478.496704,0
-13.012638,0,-20.242689,0,478.408691,0
-12.964757,0,-20.196533,0,478.333374,0
-12.917538,0,-20.150343,0,478.270782,0
-12.87084,0,-20.10412,0,478.220734,0
-12.824553,0,-20.057858,0,478.183167,0
-12.778623,0,-20.011547,0,478.157928,0
-12.733043,0,-19.965187,0,478.144928,0
-12.687829,0,-19.918787,0,478.144073,0
-12.642991,0,-19.872358,0,478.155151,0
-12.598496,0,-19.825926,0,478.178131,0
-12.554262,0,-19.77952,0,478.212708,0
-12.510173,0,-19.733179,0,478.258789,0
-12.466106,0,-19.686941,0,478.316071,0
-12.421966,0,-19.640831,0,478.38446,0
-12.377707,0,-19.594866,0,478.463806,0
-12.333338,0,-19.549055,0,478.553925,0
-12.288891,0,-19.503408,0,478.654633,0
-12.244393,0,-19.457932,0,478.765778,0
-12.199831,0,-19.412642,0,478.887085,0
-12.155134,0,-19.367563,0,479.018372,0
-12.11019,0,-19.322723,0,479.159363,0
-12.064883,0,-19.278164,0,479.309845,0
-12.01912,0,-19.233915,0,479.469666,0
-11.972861,0,-19.19002,0,479.63855,0
-11.926113,0,-19.146502,0,479.816315,0
-11.878915,0,-19.103388,0,480.002777,0
-11.831286,0,-19.060692,0,480.197632,0
-11.78322,0,-19.018435,0,480.400726,0
-11.734656,0,-18.976635,0,480.611633,0
-11.6855,0,-18.93532,0,480.8302,0
-11.635639,0,-18.894526,0,481.056152,0
-11.584989,0,-18.854286,0,481.289215,0
-11.533503,0,-18.814632,0,481.529175,0
-11.481193,0,-18.775604,0,481.775848,0
-11.428102,0,-18.737238,0,482.028931,0
-11.374272,0,-18.699568,0,482.288208,0
-11.319716,0,-18.662634,0,482.553436,0
-11.264389,0,-18.626476,0,482.824249,0
-11.20821,0,-18.591125,0,483.100433,0
-11.151073,0,-18.556612,0,483.381622,0
-11.092889,0,-18.522968,0,483.667664,0
-11.03361,0,-18.490219,0,483.958252,0
-10.973242,0,-18.458389,0,484.253113,0
-10.911817,0,-18.427513,0,484.552032,0
-10.849374,0,-18.397619,0,484.854767,0
-10.785927,0,-18.368753,0,485.161011,0
-10.721439,0,-18.340954,0,485.47049,0
-10.65583,0,-18.314264,0,485.782898,0
-10.588997,0,-18.288725,0,486.097931,0
-10.520845,0,-18.264362,0,486.415436,0
-10.451318,0,-18.241203,0,486.734985,0
-10.380414,0,-18.219259,0,487.056519,0
-10.308167,0,-18.198551,0,487.3797,0
-10.234619,0,-18.179087,0,487.704285,0
-10.159789,0,-18.160879,0,488.030029,0
-10.083645,0,-18.143948,0,488.35672,0
-10.006114,0,-18.128309,0,488.683929,0
-9.927098,0,-18.113983,0,489.011505,0
-9.846519,0,-18.100986,0,489.33905,0
-9.764337,0,-18.089327,0,489.666504,0
-9.680567,0,-18.079006,0,489.993652,0
-9.595265,0,-18.070026,0,490.320251,0
-9.508499,0,-18.062387,0,490.646179,0
-9.420314,0,-18.056084,0,490.971161,0
-9.330712,0,-18.051115,0,491.294983,0
-9.239655,0,-18.047478,0,491.617401,0
-9.147078,0,-18.045162,0,491.93811,0
-9.052917,0,-18.044163,0,492.256958,0
-8.957136,0,-18.044449,0,492.573792,0
-8.859747,0,-18.045994,0,492.888458,0
-8.760798,0,-18.048763,0,493.200897,0
-8.660362,0,-18.052729,0,493.510925,0
-8.558495,0,-18.057877,0,493.81839,0
-8.455219,0,-18.064184,0,494.123138,0
-8.350515,0,-18.071646,0,494.424866,0
-8.244333,0,-18.08024,0,494.723389,0
-8.136621,0,-18.089943,0,495.018707,0
-8.027349,0,-18.100725,0,495.310669,0
-7.916531,0,-18.112543,0,495.599213,0
-7.804216,0,-18.125343,0,495.884369,0
-7.690472,0,-18.139059,0,496.165894,0
-7.575358,0,-18.153631,0,496.443787,0
-7.458906,0,-18.169012,0,496.717896,0
-7.34111,0,-18.185154,0,496.988007,0
-7.221936,0,-18.202024,0,497.254059,0
-7.101348,0,-18.219593,0,497.515991,0
-6.979329,0,-18.237825,0,497.773712,0
-6.855902,0,-18.256681,0,498.027374,0
