Time(ms),Acceleration(x),Acceleration(y),Acceleration(z),Magnetometer(x),Magnetometer(y),Magnetometer(z),Gyroscope(x),Gyroscope(y),Gyroscope(z),Class
51836,-4.74,9.08,-4.8,-14.05,-23.84,-101.74,-1.24,0.18,-0.63,1
52082,-0.75,11.98,-1.95,-6.15,-24.38,-79.28,-0.93,0.41,-0.37,1
52330,-3.13,14.45,-13.0,-5.92,-28.56,-95.64,2.67,3.84,1.29,1
52578,-0.24,10.41,0.74,1.1,-24.6,-116.06,-0.6,1.77,-0.16,1
52832,0.81,7.28,-0.94,3.57,-23.21,-120.17,-1.2,-0.32,1.01,1
53078,-1.85,8.1,-3.95,8.68,-30.66,-98.49,-2.53,0.24,-0.64,1
53325,-3.54,16.96,-13.02,13.48,-30.08,-108.39,1.24,0.15,1.85,1
53573,6.47,3.75,-4.36,17.89,-20.55,-121.47,-1.85,0.87,-0.54,1
53819,-8.28,4.52,-10.37,21.78,-22.23,-118.44,-0.88,0.64,-0.2,1
54067,-0.1,9.22,-2.74,24.44,-26.7,-100.12,-2.11,0.53,-0.82,1
54315,-3.08,13.72,-0.7,33.86,-26.26,-102.51,2.37,-1.23,0.23,1
54560,4.81,1.12,-6.56,26.97,-22.19,-114.0,-0.08,2.48,-0.59,1
54816,16.36,2.29,-4.31,31.12,-23.37,-113.55,-1.91,-0.01,-1.37,1
55064,1.33,8.08,-2.5,28.71,-25.42,-93.66,-3.32,-1.29,-0.38,1
55312,2.58,15.82,11.15,36.04,-25.1,-88.41,4.76,-0.46,-1.31,1
55558,-0.12,3.55,-7.72,26.98,-24.6,-110.26,1.44,1.86,0.35,1
55805,-3.11,19.41,4.9,24.16,-23.68,-108.16,3.3,3.9,0.3,1
56051,1.17,8.73,-2.78,29.2,-24.96,-90.98,-3.63,-0.9,-0.59,1
56299,-3.55,19.6,0.05,34.67,-21.54,-80.87,3.19,0.01,0.19,1
56553,-1.67,4.18,-8.47,25.61,-24.89,-110.63,1.64,1.11,0.96,1
56801,-7.06,19.6,3.47,26.15,-22.2,-109.11,1.78,3.28,0.96,1
57047,0.81,8.93,-1.67,29.06,-25.14,-93.93,-2.99,-1.11,-0.11,1
57294,-5.69,15.18,1.61,34.0,-20.72,-79.22,0.99,-0.71,0.11,1
57540,-0.43,6.03,-7.12,26.95,-25.31,-108.43,1.97,-0.11,1.0,1
57788,-3.32,9.12,-0.36,26.54,-22.61,-111.94,-1.13,-1.17,0.16,1
58036,-1.06,8.31,-2.97,28.06,-25.64,-98.28,-2.51,-0.63,-0.17,1
58298,-1.93,13.05,0.23,33.53,-20.62,-78.75,-0.36,-0.71,-0.25,1
58556,-0.21,7.88,-8.35,28.66,-24.79,-108.86,1.91,0.15,1.18,1
58808,0.95,-5.85,8.68,28.52,-22.49,-113.21,0.76,-1.14,0.16,1
59060,-0.05,8.51,-2.91,31.25,-24.71,-97.5,-2.71,-0.64,-0.04,1
59312,-4.11,14.49,2.79,36.35,-22.13,-82.52,1.41,-0.62,0.06,1
59564,1.23,4.11,-6.95,32.4,-24.66,-111.71,1.95,0.72,0.54,1
59815,-5.5,-6.65,4.26,31.39,-23.36,-110.92,-0.74,0.19,0.73,1
60067,1.08,9.95,-1.8,31.67,-23.74,-90.15,-3.07,-0.69,-0.07,1
60327,-5.86,15.5,2.07,33.28,-19.12,-79.66,0.94,-1.03,-0.0,1
60573,-0.41,4.95,-7.59,21.91,-22.7,-109.97,1.82,0.04,0.97,1
60819,-6.41,12.71,-3.7,19.57,-21.82,-111.21,-2.46,-0.05,0.46,1
61067,-1.34,9.57,-3.24,23.06,-26.0,-101.45,-2.4,-0.74,-0.22,1
61313,0.9,10.26,8.77,30.05,-25.87,-92.44,2.07,-1.34,-0.47,1
61560,0.74,5.37,-7.23,22.92,-24.03,-113.61,1.55,1.14,0.62,1
61806,-5.2,6.3,-2.51,22.96,-21.81,-113.87,-1.77,-1.36,0.48,1
62062,1.26,8.85,-2.75,27.02,-23.85,-101.51,-2.74,0.24,-0.43,1
62310,-1.83,13.12,1.23,34.17,-21.51,-85.33,0.26,-0.68,-0.33,1
62556,1.26,7.89,-5.69,28.46,-24.31,-108.68,1.96,0.54,0.69,1
62803,4.65,11.07,11.56,28.31,-20.93,-109.0,0.3,-0.72,-1.4,1
63049,0.58,8.21,-2.27,32.78,-21.95,-97.19,-2.26,-0.25,-0.68,1
63297,2.58,11.92,-0.85,38.78,-13.77,-77.81,-0.26,0.38,-0.82,1
63545,-2.31,9.7,-8.48,34.68,-21.65,-89.54,2.16,2.44,0.68,1
63799,0.41,6.94,15.34,27.24,-24.36,-86.51,2.15,-2.32,1.39,1
64045,-0.0,8.2,-0.83,24.93,-20.07,-75.94,-2.04,-0.65,-0.69,1
64292,2.01,11.7,0.53,27.99,-3.73,-61.11,-1.14,0.3,-0.58,1
64538,1.25,10.73,-6.19,24.88,-19.13,-73.31,3.2,2.0,0.53,1
64786,-1.8,19.6,0.73,11.85,-19.73,-72.3,3.29,2.91,0.31,1
65034,-0.92,9.56,-3.51,12.55,-20.52,-71.28,-1.48,0.69,-0.38,1
65280,-0.1,10.22,-1.48,14.48,-2.08,-56.01,-1.04,0.77,-0.65,1
65527,-2.8,14.74,-11.79,11.09,-17.57,-64.67,3.06,3.22,1.42,1
65783,-2.89,14.87,-2.58,-3.26,-21.75,-76.43,-0.75,2.38,-0.66,1
66029,-2.41,8.8,-4.46,-6.01,-23.46,-80.11,-1.0,0.17,0.07,1
66277,-0.38,9.31,-2.82,-2.92,-12.86,-63.46,-2.42,0.63,-0.73,1
66525,-4.61,15.23,-12.3,-0.06,-19.41,-69.18,0.96,-0.51,1.25,1
66770,2.48,2.58,-5.93,-12.77,-20.68,-86.71,-2.21,1.73,-0.46,1
67018,7.59,10.81,-4.41,-13.96,-21.41,-91.96,-1.53,0.04,0.02,1
67264,0.07,9.73,-3.09,-11.08,-14.34,-71.86,-2.12,0.15,-0.5,1
67520,-6.66,11.65,-9.43,-5.51,-19.88,-75.75,0.89,-2.81,0.84,1
67766,4.78,0.97,-7.22,-17.09,-18.72,-98.16,-1.6,2.3,-0.77,1
68014,-7.16,7.73,-11.07,-15.99,-19.61,-100.1,-0.61,1.49,-0.67,1
68259,-0.23,9.44,-2.74,-11.3,-19.66,-80.58,-2.22,0.38,-0.71,1
68689,-0.31,4.68,-9.33,-17.44,-19.12,-105.57,1.42,2.04,0.45,1
69068,-2.27,8.98,-3.39,-8.21,-22.84,-110.32,-1.25,0.25,-0.15,1
69470,-0.54,13.35,8.3,1.75,-28.97,-89.83,3.97,0.79,-0.89,1
69724,1.15,3.02,-8.36,-3.54,-18.72,-119.53,1.22,1.83,0.35,1
69971,-6.87,19.6,-5.49,-8.92,-14.03,-121.19,-0.46,2.45,-0.08,1
70217,0.2,8.43,-3.46,-5.9,-23.03,-107.7,-2.87,-0.89,0.07,1
70465,1.07,10.9,4.69,-7.15,-25.46,-94.52,1.64,-1.62,0.34,1
70711,-1.29,5.5,-6.81,-21.66,-18.08,-105.33,1.86,-1.7,0.96,1
70959,-3.25,8.17,-8.0,-28.09,-15.3,-103.86,-1.86,-0.83,-0.46,1
71206,0.34,8.9,-2.85,-26.13,-16.4,-88.03,-2.82,-1.12,0.06,1
71452,-0.64,13.14,0.5,-18.46,-10.83,-67.79,-0.46,-1.66,-0.09,1
71706,0.02,6.4,-7.49,-15.01,-22.36,-82.86,1.68,-0.51,0.73,1
71954,-0.46,9.0,0.18,-20.02,-19.38,-94.18,-0.69,-1.78,-0.53,1
72200,0.4,8.33,-1.92,-17.92,-19.22,-84.41,-2.42,-0.5,-0.3,1
72448,2.4,12.27,1.04,-11.66,-8.61,-64.51,-1.17,-0.51,-0.15,1
72693,2.04,7.49,-5.6,-10.68,-21.79,-79.55,2.29,-0.42,1.1,1
72941,6.58,8.09,17.03,-18.08,-20.42,-92.03,3.16,0.3,1.02,1
73187,-2.44,9.14,-1.93,-17.29,-20.71,-86.42,-1.48,0.44,-0.88,1
73443,-2.66,10.82,-1.35,-9.89,-8.8,-62.72,-1.48,-0.12,-0.27,1
73691,3.11,12.92,-6.68,-3.96,-20.04,-70.56,4.04,0.34,1.58,1
73943,-6.18,19.6,4.34,-14.03,-20.62,-83.59,2.44,-0.93,1.93,1
74188,-8.2,9.37,-3.41,-14.72,-20.58,-82.26,-1.28,-0.4,-0.34,1
74436,-0.58,9.95,-2.68,-7.13,-8.33,-60.19,-1.36,-0.55,-0.32,1
74684,-0.21,14.6,-8.94,3.61,-18.8,-65.95,3.5,1.16,1.63,1
